ATB ID,solvent,value,error_estimate,formula,inchi
778,water,6.78,0.57,C5H10,"InChI=1S/C5H10/c1-4-5(2)3/h4-5H,1H2,2-3H3"
780,water,6.52,0.74,C6H12,"InChI=1S/C6H12/c1-4-5-6(2)3/h2,4-5H2,1,3H3"
781,water,7.78,0.88,C6H12,"InChI=1S/C6H12/c1-4-5-6(2)3/h4,6H,1,5H2,2-3H3"
782,water,9.94,0.82,C7H14,"InChI=1S/C7H14/c1-3-5-7-6-4-2/h3,5H,4,6-7H2,1-2H3/b5-3+"
784,water,5.45,0.68,C5H8,"InChI=1S/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2"
785,water,4.65,0.77,C6H10,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2"
786,water,8.37,0.66,C5H12,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3"
787,water,4.72,0.82,C7H12,"InChI=1S/C7H12/c1-7-5-3-2-4-6-7/h5H,2-4,6H2,1H3"
788,water,4.93,0.67,C4H6,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2"
788,hexane,-8.74,1.27,C4H6,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2"
789,water,5.66,0.8,C5H8,"InChI=1S/C5H8/c1-3-5-4-2/h3-4H,1-2,5H2"
791,water,4.27,1.39,C5H8,"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3"
792,water,5.42,0.85,C6H10,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H,1-2,5-6H2"
794,water,-1.81,0.79,C7H8,"InChI=1S/C7H8/c1-2-4-6-7-5-3-1/h1-6H,7H2"
796,water,-9.97,1.14,C3H4,"InChI=1S/C3H4/c1-3-2/h1H,2H3"
796,hexane,-6.64,0.89,C3H4,"InChI=1S/C3H4/c1-3-2/h1H,2H3"
797,water,2.05,0.7,C4H6,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3"
797,hexane,-9.24,1.08,C4H6,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3"
798,water,-0.08,1.35,C5H8,"InChI=1S/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3"
798,hexane,-11.41,1.25,C5H8,"InChI=1S/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3"
799,water,2.54,0.91,C6H10,"InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3"
799,hexane,-14.92,1.26,C6H10,"InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3"
800,water,2.29,1.2,C7H12,"InChI=1S/C7H12/c1-3-5-7-6-4-2/h1H,4-7H2,2H3"
801,water,1.32,1.32,C8H14,"InChI=1S/C8H14/c1-3-5-7-8-6-4-2/h1H,4-8H2,2H3"
802,water,2.96,1.35,C9H16,"InChI=1S/C9H16/c1-3-5-7-9-8-6-4-2/h1H,4-9H2,2H3"
803,water,3.73,0.7,C4H4,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2"
804,water,-3.17,0.49,C6H6,"InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H"
804,hexane,-17.28,1.49,C6H6,"InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H"
806,water,-2.13,0.7,C8H10,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
806,hexane,-22.64,1.14,C8H10,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
807,water,-1.98,0.67,C8H10,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3"
807,hexane,-22.76,0.64,C8H10,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3"
808,water,-2.86,0.42,C8H10,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3"
808,hexane,-22.73,0.99,C8H10,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3"
809,water,-1.42,0.46,C8H10,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3"
809,hexane,-22.38,1.0,C8H10,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3"
810,water,-3.62,1.13,C9H12,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3"
811,water,-0.89,1.02,C9H12,"InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3"
812,water,-0.82,0.95,C9H12,"InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3"
